epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.89,2.37582,3.66652,2.02039,0.93858,0.14862,0.39511,0.23103,1.549,3.20174,1.42851,0.000251207,0.000251207,0.000251207
2,440.86,1.28832,1.64577,1.32852,0.91052,0.64959,0.84856,0.58234,1.21067,1.984,1.29156,0.000482417,0.000482417,0.000482417
3,811.172,0.94882,0.96352,1.12497,0.90788,0.87751,0.98409,0.7003,1.06623,1.25111,1.11771,0.00068825,0.00068825,0.00068825
4,1108.19,0.78386,0.7886,1.03457,0.99393,0.99731,0.99428,0.85813,0.60378,0.75532,0.96502,0.000654804,0.000654804,0.000654804
5,1639.81,0.70818,0.70347,0.98663,0.99884,0.99763,0.99483,0.8689,0.54297,0.62381,0.92275,0.000616738,0.000616738,0.000616738
6,2189.59,0.61013,0.63147,0.95638,0.98221,0.99804,0.99474,0.90446,0.48075,0.57058,0.89633,0.000578672,0.000578672,0.000578672
7,2763.05,0.59059,0.59921,0.93812,0.99905,1,0.995,0.88985,0.50844,0.52801,0.88593,0.000540607,0.000540607,0.000540607
8,3274.25,0.55769,0.56314,0.92164,0.99928,1,0.995,0.92236,0.4031,0.51117,0.87711,0.000502541,0.000502541,0.000502541
9,3814.13,0.49719,0.53229,0.90749,0.99932,0.99918,0.995,0.94199,0.35048,0.48111,0.87125,0.000464476,0.000464476,0.000464476
10,4388.73,0.46742,0.50991,0.89908,0.99926,0.99933,0.995,0.95066,0.37057,0.46417,0.85439,0.000426411,0.000426411,0.000426411
11,4955.36,0.45383,0.55297,0.89324,0.99844,0.99929,0.995,0.90558,0.49759,0.52106,0.89019,0.000388345,0.000388345,0.000388345
12,5788.9,0.37787,0.48525,0.87471,0.99929,0.99897,0.995,0.96159,0.33073,0.42919,0.85394,0.00035028,0.00035028,0.00035028
13,7165.58,0.34355,0.44785,0.86196,0.99955,0.99906,0.995,0.96661,0.31107,0.39637,0.8354,0.000312214,0.000312214,0.000312214
14,7937.57,0.31887,0.42809,0.85928,0.99928,1,0.995,0.95934,0.30036,0.37531,0.83065,0.000274148,0.000274148,0.000274148
15,8109.84,0.31282,0.4129,0.84932,0.99958,1,0.995,0.97364,0.2752,0.35801,0.83622,0.000236083,0.000236083,0.000236083
16,8274.85,0.29289,0.39599,0.84766,0.99945,1,0.995,0.98678,0.25243,0.34061,0.82184,0.000198018,0.000198018,0.000198018
17,8443.32,0.2726,0.38268,0.84588,0.99939,1,0.995,0.9764,0.25244,0.33927,0.8261,0.000159952,0.000159952,0.000159952
18,8620.12,0.25795,0.36973,0.8363,0.99952,1,0.995,0.98484,0.24407,0.3384,0.82461,0.000121887,0.000121887,0.000121887
19,8815.36,0.24823,0.36236,0.83528,0.99963,1,0.995,0.98763,0.22373,0.32651,0.82092,8.3821e-05,8.3821e-05,8.3821e-05
20,9011.13,0.23734,0.35435,0.83363,0.99952,1,0.995,0.98548,0.22211,0.32573,0.82088,4.57555e-05,4.57555e-05,4.57555e-05
